Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,1uF,C_0402_1005Metric,35.603,30.465,180.0,top
C11,1uF,C_0402_1005Metric,11.727,21.1432,0.0,top
C12,10uF,C_0402_1005Metric,27.602,6.335,180.0,top
C13,10uF,C_0402_1005Metric,19.728,1.509,90.0,top
C14,0.1uF,C_0402_1005Metric,7.5306,11.0848,0.0,top
C15,0.1uF,C_0402_1005Metric,27.602,7.351,180.0,top
C16,0.1uF,C_0402_1005Metric,9.7204,19.0604,-90.0,top
C17,10uF,C_0402_1005Metric,4.7198,30.8806,-90.0,top
C18,0.1uF,C_0402_1005Metric,20.9726,22.3878,-90.0,top
C19,NC,C_0402_1005Metric,27.348,2.7536,180.0,top
C2,1uF,C_0402_1005Metric,21.9124,22.3878,-90.0,top
C20,10uF,C_0402_1005Metric,2.3088,29.3312,0.0,top
C21,220pF,C_0402_1005Metric,3.7038,30.8806,-90.0,top
C22,10uF,C_0402_1005Metric,2.6878,34.4496,-90.0,top
C23,220pF,C_0402_1005Metric,6.2458,29.3566,0.0,top
C24,10uF,C_0402_1005Metric,8.2758,32.7276,90.0,top
C25,10uF,C_0402_1005Metric,8.705,34.97,180.0,top
C26,1uF,C_0402_1005Metric,2.3036,36.053,0.0,top
C27,10uF,C_0402_1005Metric,23.538,37.196,90.0,top
C28,0.1uF,C_0402_1005Metric,12.2096,35.1386,-90.0,top
C29,0.1uF,C_0402_1005Metric,23.538,39.101,-90.0,top
C3,0.1uF,C_0402_1005Metric,33.754,42.53,0.0,top
C30,220pF,C_0402_1005Metric,5.377,37.196,-90.0,top
C31,12pF,C_0402_1005Metric,18.458,41.387,-90.0,top
C32,12pF,C_0402_1005Metric,23.538,41.006,90.0,top
C33,0.1uF,C_0402_1005Metric,20.998,26.782,90.0,top
C34,0.1uF,C_0402_1005Metric,15.9688,26.782,90.0,top
C35,0.1uF,C_0402_1005Metric,24.75,30.25,90.0,top
C36,1uF,C_0402_1005Metric,0.317,13.574,90.0,top
C37,10uF,C_0402_1005Metric,8.552,40.4,-90.0,top
C38,1uF,C_0402_1005Metric,1.333,13.574,90.0,top
C39,10uF,C_0402_1005Metric,9.568,40.4,-90.0,top
C4,0.1uF,C_0402_1005Metric,18.458,39.482,-90.0,top
C41,0.1uF,C_0402_1005Metric,20.744,1.509,90.0,top
C42,0.1uF,C_0402_1005Metric,7.5306,5.827,0.0,top
C43,0.1uF,C_0402_1005Metric,27.348,11.796,90.0,top
C44,0.1uF,C_0402_1005Metric,15.156,1.509,90.0,top
C45,0.1uF,C_0402_1005Metric,25.062,20.559,-135.0,top
C46,0.1uF,C_0402_1005Metric,24.3,21.702,-135.0,top
C47,0.1uF,C_0402_1005Metric,22.903,1.509,90.0,top
C48,0.1uF,C_0402_1005Metric,27.602,5.319,180.0,top
C49,0.1uF,C_0402_1005Metric,10.2792,20.8892,-90.0,top
C50,0.1uF,C_0402_1005Metric,7.536,7.732,0.0,top
C51,0.1uF,C_0402_1005Metric,27.602,8.367,180.0,top
C52,0.1uF,C_0402_1005Metric,7.536,8.748,0.0,top
C53,0.1uF,C_0402_1005Metric,18.331,1.509,90.0,top
C54,NC,C_0402_1005Metric,27.348,1.7376,180.0,top
C55,0.1uF,C_0402_1005Metric,7.282,14.209,0.0,top
C56,NC,C_0402_1005Metric,7.5306,9.764,0.0,top
C57,0.1uF,C_0402_1005Metric,21.76,1.509,90.0,top
C58,0.1uF,C_0402_1005Metric,11.3968,1.509,90.0,top
C59,0.1uF,C_0402_1005Metric,13.5304,1.537,90.0,top
C6,1uF,C_0402_1005Metric,33.4,30.8,-90.0,top
C60,0.1uF,C_0402_1005Metric,27.348,9.9164,90.0,top
C61,0.1uF,C_0402_1005Metric,16.172,1.509,90.0,top
C62,10uF,C_0402_1005Metric,12.4636,1.509,90.0,top
C8,0.1uF,C_0402_1005Metric,35.0442,23.8102,180.0,top
C9,1uF,C_0402_1005Metric,29.9,30.5,0.0,top
D1,CESD5V0D5,D_SOD-523,5.504,14.5138,90.0,top
D3,LED_ABGR,LED_RGB_Everlight_EASV3015RGBA0_Horizontal,-0.7187,9.9955,-90.0,top
F1,SMD0805B100TFT,Fuse_0805_2012Metric,3.726,14.971,90.0,top
J1,FPGA_JTAG,PinHeader_1x05_P2.54mm_Vertical,3.619,6.589,0.0,top
J2,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_16P,41.1178,32.0144,90.0,top
J3,USB_A,USB-AF_YIJIAN,34.02,13.0,90.0,top
J4,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_16P,1.39,22.5,-90.0,top
J5,"FFC-40P-0.5mm,NC",TE_4-1734839-0_1x40-1MP_P0.5mm_Horizontal,19.55,4.3,0.0,bottom
J6,Trigger,PinHeader_1x02_P2.54mm_Vertical,39.4076,23.2564,0.0,top
L2,"4.7uH,MPL2012S4R7MHT",L_0805_2012Metric,2.3068,31.7826,90.0,top
L3,"4.7uH,MPL2012S4R7MHT",L_0805_2012Metric,7.155,30.8968,0.0,top
L5,1.5uH,L_NR2520xx,8.479,37.3838,45.0,top
R1,0,R_0402_1005Metric,34.968,31.481,180.0,top
R12,"5.1k,1%",R_0402_1005Metric,0.952,7.859,-90.0,top
R13,"5.1k,1%",R_0402_1005Metric,22.014,26.02,-90.0,top
R15,4.7k,R_0402_1005Metric,18.966,43.038,0.0,top
R16,4.7k,R_0402_1005Metric,20.9472,43.038,180.0,top
R17,4.7k,R_0402_1005Metric,9.06,42.6824,0.0,top
R18,"5.1k,1%",R_0402_1005Metric,24.681,35.672,180.0,top
R19,"10k,1%",R_0402_1005Metric,11.727,22.1338,0.0,top
R2,"5.1k,1%",R_0402_1005Metric,6.921,23.988,180.0,top
R20,"10k,1%",R_0402_1005Metric,25.062,37.704,0.0,top
R21,"33k,1%",R_0402_1005Metric,25.062,38.72,0.0,top
R22,4.7k,R_0402_1005Metric,25.062,39.736,0.0,top
R23,4.7k,R_0402_1005Metric,25.062,40.752,180.0,top
R24,"10k,1%",R_0402_1005Metric,7.0226,2.3097,90.0,top
R25,"5.1k,1%",R_0402_1005Metric,42.334,24.877,0.0,top
R26,"5.1k,1%",R_0402_1005Metric,42.334,23.734,0.0,top
R28,"10k,1%",R_0402_1005Metric,35.5,33.1,-90.0,top
R3,"5.1k,1%",R_0402_1005Metric,6.921,20.559,180.0,top
R30,"8.06k,1%",R_0402_1005Metric,34.4,33.1,90.0,top
R31,"10k,1%",R_0402_1005Metric,31.8,30.5,180.0,top
R32,"150k,1%",R_0402_1005Metric,2.3088,28.3406,180.0,top
R33,"33k,1%",R_0402_1005Metric,4.3408,28.3406,0.0,top
R34,"10k,1%",R_0402_1005Metric,8.1508,29.3566,180.0,top
R35,"20k,1%",R_0402_1005Metric,4.3408,29.3566,180.0,top
R37,"20k,1%",R_0402_1005Metric,1.333,15.606,90.0,top
R38,"33k,1%",R_0402_1005Metric,0.317,15.606,90.0,top
R39,"33k,1%",R_0402_1005Metric,2.3036,37.069,0.0,top
R4,"5.1k,1%",R_0402_1005Metric,23.5,34.25,-90.0,top
R40,"20k,1%",R_0402_1005Metric,4.0816,37.0944,45.0,top
R5,"10k,1%",R_0402_1005Metric,12.108,24.1658,90.0,top
R6,"10k,1%",R_0402_1005Metric,21.4806,23.861,180.0,top
R7,470,R_0402_1005Metric,28.7704,15.9108,-90.0,top
R8,"10k,1%",R_0402_1005Metric,0.952,5.827,-90.0,top
R9,"5.1k,1%",R_0402_1005Metric,0.952,9.891,-90.0,top
TP1,TestPoint,PinHeader_1x01_P1.00mm_Vertical,24.681,25.004,0.0,top
TP14,TestPoint,PinHeader_1x01_P1.00mm_Vertical,23.411,43.038,0.0,top
TP15,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.443,43.038,0.0,top
TP2,TestPoint,PinHeader_1x01_P1.00mm_Vertical,24.681,26.274,0.0,top
TP3,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.0,33.77,90.0,top
TP4,TestPoint,PinHeader_1x01_P1.00mm_Vertical,25.0,32.5,90.0,top
U1,H7P20N0L128-M3H1,LQFP-128_14x14mm_P0.4mm_pad,17.5278,11.2372,0.0,top
U11,EA3036C,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,5.4818,34.0686,90.0,top
U2,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,35.222,38.72,90.0,top
U3,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,31.539,35.037,90.0,top
U4,LM2903A-VR,MSOP-8_3x3mm_P0.65mm,27.856,35.037,90.0,top
U5,USB3343,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,32.6566,26.894,0.0,top
U6,P25Q64SH-SSH-IR,SOP-8_3.9x4.9mm_P1.27mm,16.4514,23.0848,180.0,top
U7,CY7C68013A-56LTX,QFN-56-1EP_8x8mm_P0.5mm_EP4.5x5.2mm,17.6353,32.7684,-90.0,top
U8,24C32,SOP-8_3.9x4.9mm_P1.27mm,14.14,41.2488,180.0,top
U9,CJ3439KDW,SOT-363_SC-70-6,9.2124,2.3472,180.0,top
Y2,24M,OSC_3225,20.998,40.752,0.0,top
